,Date published,url,anger,disgust,fear,joy,sadness,label,score
68,2021-09-28T16:11:26Z,https://www.theguardian.com/fashion/2021/sep/28/for-us-black-hair-is-black-history-rihannas-fashion-show-sparks-row-for-styling-white-models-hair-in-braids,0.136607,0.182938,0.157357,0.52119,0.550036,negative,-0.481467
69,2021-09-25T23:26:34Z,https://www.theguardian.com/sport/live/2021/sep/25/ryder-cup-golf-united-states-usa-europe-day-two-whistling-straits,0.59541,0.570219,0.602683,0.193282,0.598344,negative,-0.439767
70,2021-09-20T20:17:58Z,https://www.theguardian.com/business/live/2021/sep/20/energy-firms-help-price-crisis-stagflation-markets-ftse-sterling-dow-business-live,0.123744,0.080277,0.628993,0.130559,0.611516,negative,-0.604959
71,2021-09-17T06:00:37Z,https://www.theguardian.com/technology/2021/sep/17/waste-from-one-bitcoin-transaction-like-binning-two-iphones,0.472418,0.069117,0.087194,0.159936,0.456495,positive,0.365172
72,2021-09-16T17:13:51Z,https://www.theguardian.com/business/live/2021/sep/16/evergrande-crisis-energy-prices-factories-markets-ftse-dow-us-jobless-business-live,0.084155,0.054824,0.445435,0.529215,0.525305,negative,-0.460502
73,2021-09-16T13:10:12Z,https://www.theguardian.com/technology/2021/sep/16/nft-trader-opensea-bans-insider-trading-after-employee-rakes-in-profit,0.12824,0.111574,0.050317,0.549957,0.148143,negative,-0.328483
74,2021-09-15T14:09:18Z,https://www.theguardian.com/business/live/2021/sep/15/uk-inflation-jumps-boosted-higher-food-restaurant-prices-business-live,error,error,error,error,error,error,error
75,2021-09-15T06:15:39Z,https://www.theguardian.com/tv-and-radio/2021/sep/15/cops-tv-show-returns-fox-news,0.21295,0.507159,0.456699,0.135511,0.62834,negative,-0.503688
76,2021-09-11T12:30:41Z,https://www.theguardian.com/sport/live/2021/sep/11/afl-2021-finals-port-adelaide-vs-western-bulldogs-live-scores-teams-power-v-premiership-season-preliminary-final-fixture-team-news-results-score-start-time-footy-updates,0.069196,0.423027,0.081798,0.669641,0.524562,positive,0.654934
77,2021-09-10T12:49:31Z,https://www.theguardian.com/sport/live/2021/sep/10/afl-2021-finals-melbourne-vs-geelong-live-scores-teams-demons-v-cats-premiership-season-preliminary-final-fixture-team-news-results-score-start-time-footy-updates-optus-stadium,0.068426,0.091194,0.120387,0.663967,0.466509,positive,0.457398
78,2021-09-10T06:00:21Z,https://www.theguardian.com/commentisfree/2021/sep/10/lesson-9-11-peace-taliban,0.204276,0.143653,0.186257,0.528784,0.582958,negative,-0.678817
79,2021-09-10T01:31:20Z,https://www.theguardian.com/australia-news/2021/sep/10/nsw-can-absolutely-stop-using-coal-power-by-2030-energy-minister-says,0.144535,0.165369,0.164303,0.223663,0.600388,positive,0.460509
80,2021-09-08T17:06:24Z,https://www.theguardian.com/politics/live/2021/sep/08/health-social-care-levy-tax-ni-pmqs-sajid-javid-boris-johnson-politics-live,0.137058,0.459772,0.127468,0.168663,0.571122,negative,-0.397915
81,2021-09-07T16:10:01Z,https://www.theguardian.com/business/live/2021/sep/07/chinas-exports-trade-delta-uk-house-prices-german-factories-supply-chain-crisis-ftse-pound-business-live,error,error,error,error,error,error,error
82,2021-09-07T06:25:48Z,https://www.theguardian.com/australia-news/2021/sep/07/cheap-shot-scott-morrison-defends-fathers-day-trip-to-sydney-during-lockdown,0.124471,0.155924,0.055912,0.589382,0.591332,positive,0.288165
83,2021-09-07T05:00:21Z,https://www.theguardian.com/news/2021/sep/07/disastrous-voyage-satoshi-cryptocurrency-cruise-ship-seassteading,error,error,error,error,error,error,error
84,2021-09-06T15:54:15Z,https://www.theguardian.com/business/live/2021/sep/06/uk-car-sales-supply-chain-problems-construction-pmi-builders-stock-markets-ftse-business-live,error,error,error,error,error,error,error
85,2021-09-06T12:07:40Z,https://www.theguardian.com/business/2021/sep/06/fca-crypto-assets-kim-kardashian-west-ethereum-max-instagram,0.16251,0.07925,0.611292,0.534629,0.579923,negative,-0.686957
86,2021-09-01T16:00:01Z,https://www.theguardian.com/film/2021/sep/01/cinderella-review-musical-camila-cabello-james-corden,0.324012,0.166443,0.128741,0.186398,0.251426,negative,-0.438421
87,2021-09-01T11:24:19Z,https://www.theguardian.com/us-news/2021/sep/01/first-thing-biden-calls-for-new-era-in-foreign-policy-post-afghanistan,0.273491,0.387694,0.194304,0.057445,0.426502,negative,-0.463997
88,2021-08-31T17:06:30Z,https://www.theguardian.com/business/live/2021/aug/31/china-economy-slows-factories-services-uk-mortgages-supply-chain-ftse-sterling-oil-business-live,0.020922,0.000826,0.024168,0.728416,0.074903,negative,-0.302179
89,2021-08-31T11:11:12Z,https://www.theguardian.com/fashion/2021/aug/31/can-the-high-heel-index-predict-economic-growth,0.115103,0.070758,0.211048,0.233521,0.23398,positive,0.279464
90,2021-08-30T17:30:02Z,https://www.theguardian.com/australia-news/2021/aug/31/renewables-could-meet-100-demand-in-australia-at-certain-times-of-day-by-2025-report-says,0.025598,0.006224,0.019807,0.709608,0.1915,positive,0.589847
91,2021-08-28T16:30:02Z,https://www.theguardian.com/commentisfree/2021/aug/28/never-boring-at-barber-aliens-cryptocurrency,0.216509,0.014212,0.36137,0.145519,0.496393,negative,-0.437802
92,2021-08-28T08:09:04Z,https://www.theguardian.com/sport/live/2021/aug/28/afl-2021-finals-sydney-vs-gws-live-scores-teams-swans-v-giants-premiership-season-week-one-fixture-team-news-results-score-start-time-footy-updates,0.109604,0.110621,0.103806,0.638035,0.51991,positive,0.401015
93,2021-08-27T13:28:50Z,https://www.theguardian.com/technology/2021/aug/27/boy-12-makes-29000-in-non-fungible-tokens-with-digital-whale-art,0.14063,0.134134,0.107778,0.528364,0.501876,positive,0.37488
94,2021-08-27T12:38:43Z,https://www.theguardian.com/sport/live/2021/aug/27/afl-2021-finals-port-vs-geelong-live-scores-teams-adelaide-v-cats-premiership-season-week-one-fixture-team-news-results-score-start-time-footy-updates,0.133455,0.123731,0.154163,0.569463,0.517444,positive,0.276411
95,2021-08-27T09:45:38Z,https://www.theguardian.com/us-news/2021/aug/27/first-thing-joe-biden-vows-retaliation-for-kabul-airport-attack,0.296995,0.302429,0.158358,0.00439,0.587256,negative,-0.811747
96,2021-08-26T08:00:43Z,https://www.theguardian.com/film/2021/aug/26/demonic-review-neill-blomkamps-sci-fi-horror-is-pure-pulp,0.130967,0.07512,0.441918,0.610771,0.4947,negative,-0.49741
97,2021-08-25T18:05:07Z,https://www.theguardian.com/world/live/2021/aug/25/coronavirus-live-news-japan-to-expand-state-of-emergency-biden-review-of-covid-origins-reportedly-inconclusive,error,error,error,error,error,error,error
98,2021-08-25T12:26:39Z,https://www.theguardian.com/money/2021/aug/25/amigo-chief-says-new-rescue-plan-could-save-struggling-firm-by-2022,0.132394,0.062827,0.042254,0.243508,0.600144,negative,-0.322601
99,2021-08-23T16:19:29Z,https://www.theguardian.com/business/live/2021/aug/23/private-sector-growth-delta-variant-japan-australia-uk-eurozone-jobs-markets-ftse-sterling-oil-bitcoin-business-live,error,error,error,error,error,error,error
100,2021-08-23T10:49:35Z,https://www.theguardian.com/technology/2021/aug/23/paypal-uk-buy-sell-cryptocurrencies-bitcoin-ethereum-litecoin,0.066116,0.00401,0.023327,0.523874,0.252388,positive,0.422496
101,2021-08-22T16:21:39Z,https://www.theguardian.com/stage/2021/aug/22/curtain-up-review,0.09332,0.088011,0.110031,0.085834,0.318366,neutral,0
102,2021-08-19T17:23:35Z,https://www.theguardian.com/environment/2021/aug/19/extinction-rebellion-targets-city-of-london-over-climate-role,0.150579,0.168806,0.158895,0.55777,0.482787,negative,-0.361285
103,2021-08-18T14:02:27Z,https://www.theguardian.com/business/live/2021/aug/18/uk-inflation-slows-more-than-expected-to-2-first-easing-since-february-business-live,0.100147,0.085353,0.135095,0.571147,0.543078,negative,-0.401723
104,2021-08-17T23:11:11Z,https://www.theguardian.com/world/live/2021/aug/17/afghanistan-live-news-us-says-kabul-airport-reopens-as-biden-defends-withdrawal,0.168324,0.077612,0.450394,0.610256,0.545325,negative,-0.322987
105,2021-08-17T14:10:02Z,https://www.theguardian.com/business/live/2021/aug/17/uk-unemployment-rate-dips-job-vacancies-rise-to-record-high-business-live,error,error,error,error,error,error,error
106,2021-08-17T08:00:00Z,https://www.theguardian.com/music/2021/aug/17/priya-ragu-interview-music-lemon-chicken-rice-damnshestamil-good-love,0.099453,0.066568,0.085679,0.645529,0.573957,positive,0.398137
107,2021-08-16T22:34:14Z,https://www.theguardian.com/world/live/2021/aug/16/afghanistan-taliban-kabul-evacuation-live-news-updates,0.20326,0.210124,0.129385,0.159195,0.516915,negative,-0.401206
108,2021-08-15T11:20:19Z,https://www.theguardian.com/business/2021/aug/15/rise-of-cryptocurrencies-can-be-traced-to-nixon-abandoning-gold-in-1971,0.095246,0.079507,0.194698,0.187344,0.590446,negative,-0.400583
109,2021-08-12T17:10:28Z,https://www.theguardian.com/business/live/2021/aug/12/uk-gdp-q2-growth-economy-services-manufacturing-trade-us-unemployment-business-live,0.121386,0.050535,0.109347,0.590586,0.522079,negative,-0.311053
110,2021-08-11T08:54:16Z,https://www.theguardian.com/australia-news/2021/aug/11/scott-morrison-contradicts-barnaby-joyce-on-coalition-plan-to-reach-net-zero,0.208901,0.103372,0.094378,0.438982,0.187825,positive,0.487747
111,2021-08-11T01:08:50Z,https://www.theguardian.com/us-news/2021/aug/10/senate-democrats-push-voting-rights-legislation-again,0.322542,0.500943,0.002772,0.133422,0.290371,negative,-0.567438
112,2021-08-07T06:00:45Z,https://www.theguardian.com/money/2021/aug/07/e10-fuel-check-before-you-fill-up-it-can-damage-older-cars,0.216233,0.058033,0.213511,0.116882,0.495852,negative,-0.497095
113,2021-08-06T05:21:10Z,https://www.theguardian.com/commentisfree/2021/aug/06/afghan-interpreters-britain-racist-history-of-denial-afghanistan,0.405164,0.12796,0.619088,0.50012,0.552047,negative,-0.377259
114,2021-07-30T14:12:03Z,https://www.theguardian.com/business/live/2021/jul/30/natwest-profits-rebound-as-markets-await-eurozone-gdp-inflation-business-live,0.069647,0.056675,0.115298,0.592258,0.238661,negative,-0.363501
